id,user_id,item,created_at,revenue
1,109,milk,03-03-2020,123
2,139,biscuit,18-03-2020,421
3,120,milk,18-03-2020,176
4,108,banana,18-03-2020,862
5,130,milk,28-03-2020,333
6,103,bread,29-03-2020,862
7,122,banana,07-03-2020,952
8,125,bread,13-03-2020,317
9,139,bread,30-03-2020,929
10,141,banana,17-03-2020,812
11,116,bread,31-03-2020,226
12,128,bread,04-03-2020,112
13,146,biscuit,04-03-2020,362
14,119,banana,28-03-2020,127
15,142,bread,09-03-2020,503
16,122,bread,06-03-2020,593
17,128,biscuit,24-03-2020,160
18,112,banana,24-03-2020,262
19,149,banana,29-03-2020,382
20,100,banana,18-03-2020,599
21,130,milk,16-03-2020,604
22,103,milk,31-03-2020,290
23,112,banana,23-03-2020,523
24,102,bread,25-03-2020,325
25,120,biscuit,21-03-2020,858
26,109,bread,22-03-2020,432
27,101,milk,01-03-2020,449
28,138,milk,19-03-2020,961
29,100,milk,29-03-2020,410
30,129,milk,02-03-2020,771
31,123,milk,31-03-2020,434
32,104,biscuit,31-03-2020,957
33,110,bread,13-03-2020,210
34,143,bread,27-03-2020,870
35,130,milk,12-03-2020,176
36,128,milk,28-03-2020,498
37,133,banana,21-03-2020,837
38,150,banana,20-03-2020,927
39,120,milk,27-03-2020,793
40,109,bread,02-03-2020,362
41,110,bread,13-03-2020,262
42,140,milk,09-03-2020,468
43,112,banana,04-03-2020,381
44,117,biscuit,19-03-2020,831
45,137,banana,23-03-2020,490
46,130,bread,09-03-2020,149
47,133,bread,08-03-2020,658
48,143,milk,11-03-2020,317
49,111,biscuit,23-03-2020,204
50,150,banana,04-03-2020,299
51,131,bread,10-03-2020,155
52,140,biscuit,17-03-2020,810
53,147,banana,22-03-2020,702
54,119,biscuit,15-03-2020,355
55,116,milk,12-03-2020,468
56,141,milk,14-03-2020,254
57,143,bread,16-03-2020,647
58,105,bread,21-03-2020,562
59,149,biscuit,11-03-2020,827
60,117,banana,22-03-2020,249
61,150,banana,21-03-2020,450
62,134,bread,08-03-2020,981
63,133,banana,26-03-2020,353
64,127,milk,27-03-2020,300
65,101,milk,26-03-2020,740
66,137,biscuit,12-03-2020,473
67,113,biscuit,21-03-2020,278
68,141,bread,21-03-2020,118
69,112,biscuit,14-03-2020,334
70,118,milk,30-03-2020,603
71,111,milk,19-03-2020,205
72,146,biscuit,13-03-2020,599
73,148,banana,14-03-2020,530
74,100,banana,13-03-2020,175
75,105,banana,05-03-2020,815
76,129,milk,02-03-2020,489
77,121,milk,16-03-2020,476
78,117,bread,11-03-2020,270
79,133,milk,12-03-2020,446
80,124,bread,31-03-2020,937
81,145,bread,07-03-2020,821
82,105,banana,09-03-2020,972
83,131,milk,09-03-2020,808
84,114,biscuit,31-03-2020,202
85,120,milk,06-03-2020,898
86,130,milk,06-03-2020,581
87,141,biscuit,11-03-2020,749
88,147,bread,14-03-2020,262
89,118,milk,15-03-2020,735
90,136,biscuit,22-03-2020,410
91,132,bread,06-03-2020,161
92,137,biscuit,31-03-2020,427
93,107,bread,01-03-2020,701
94,111,biscuit,18-03-2020,218
95,100,bread,07-03-2020,410
96,106,milk,21-03-2020,379
97,114,banana,25-03-2020,705
98,110,bread,27-03-2020,225
99,130,milk,16-03-2020,494
100,117,bread,10-03-2020,209
